FF AURA30000-38697-67	AURA30000	AU2958A	38697	2.435820895522388	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38697-70	AURA30000	AU2958A	38697	2.3314285714285714	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38698-63	AURA30000	AU2958G	38698	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38698-68	AURA30000	AU2958A	38698	2.4	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-38698-70	AURA30000	AU2958A	38698	2.3314285714285714	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-39064-60	AURA30000	AU2958H	39064	2.72	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA30000-39064-63	AURA30000	AU2958G	39064	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA30000-39064-67	AURA30000	AU2958A	39064	2.435820895522388	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA30000-39064-68	AURA30000	AU2958A	39064	2.4	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA30000-39064-70	AURA30000	AU2958A	39064	2.3314285714285714	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA30000-39530-63	AURA30000	AU2958G	39530	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
FF AURA30000-39657-60	AURA30000	AU2958H	39657	2.72	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-39934-60	AURA30000	AU2958H	39934	2.72	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF AURA30000-40359-63	AURA30000	AU2958G	40359	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA30000-40359-68	AURA30000	AU2958A	40359	2.4	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA30000-40359-70	AURA30000	AU2958A	40359	2.3314285714285714	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF AURA30000-41112-60	AURA30000	AU2958H	41112	2.72	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF EPIC-40362-67	EPIC	AU5429D	40362	2.3572460279248912	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF EPIC-40617-67	EPIC	AU5429D	40617	2.3572460279248912	Jet-01,Jet-02,Jet-03,Jet-04,Jet-07,Jet-08,Jet-09,Jet-10
FF EPIC-40961-73	EPIC	AU5429D	40961	2.4840182648401825	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-39651-59	LYRIC	AU4782	39651	2.676872607982504	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-39651-63	LYRIC	AU4782	39651	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-39651-64	LYRIC	AU4782	39651	2.467741935483871	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-39651-69	LYRIC	AU4782	39651	2.2889200561009817	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-39651-71	LYRIC	AU4782	39651	2.2244434348023625	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-39786-59	LYRIC	AU4782	39786	2.676872607982504	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-39786-64	LYRIC	AU4782	39786	2.467741935483871	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-39920-64	LYRIC	AU4782	39920	2.467741935483871	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-40179-69	LYRIC	AU4782	40179	2.2889200561009817	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-40310-69	LYRIC	AU4782	40310	2.2889200561009817	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-40367-69	LYRIC	AU4782	40367	2.2889200561009817	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-40428-69	LYRIC	AU4782	40428	2.2889200561009817	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
FF LYRIC-41282-70	LYRIC	AU4782	41282	2.256221198156682	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRIC-41282-71	LYRIC	AU4782	41282	2.2244434348023625	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICHELHS-39651-63	LYRICHELHS	AU4782K	39651	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICHELHS-40428-63	LYRICHELHS	AU4782K	40428	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICHELHS-41114-63	LYRICHELHS	AU4782K	41114	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-39786-64	LYRICP	AU4782	39786	2.467741935483871	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-39870-63	LYRICP	AU4782	39870	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40123-55	LYRICP	AU4782	40123	2.8715542521994135	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40123-61	LYRICP	AU4782	40123	2.589106292966684	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40153-55	LYRICP	AU4782	40153	2.8715542521994135	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40153-63	LYRICP	AU4782	40153	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40492-55	LYRICP	AU4782	40492	2.8715542521994135	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40492-61	LYRICP	AU4782	40492	2.589106292966684	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40542-55	LYRICP	AU4782	40542	2.8715542521994135	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40542-61	LYRICP	AU4782	40542	2.589106292966684	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40568-55	LYRICP	AU4782	40568	2.8715542521994135	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICP-40568-61	LYRICP	AU4782	40568	2.589106292966684	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICPHE-40492-63	LYRICPHE	AU4782K	40492	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICPHE-40568-63	LYRICPHE	AU4782K	40568	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICPHE-40573-63	LYRICPHE	AU4782K	40573	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICPHE-41120-61	LYRICPHE	AU4782K	41120	2.589106292966684	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICPHE-41122-63	LYRICPHE	AU4782K	41122	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICPHELHS-39870-63	LYRICPHELHS	AU4782K	39870	2.5069124423963136	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICPT-39919-61	LYRICPT	AU4782	39919	2.589106292966684	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICPT-40042-61	LYRICPT	AU4782	40042	2.589106292966684	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICR-40582-64	LYRICR	AU4782DREP	40582	2.467741935483871	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICR-40614-64	LYRICR	AU4782DREP	40614	2.467741935483871	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICRSS-40582-64	LYRICRSS	AU4782DREP	40582	2.467741935483871	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICSS-39825-64	LYRICSS	AU4782	39825	2.467741935483871	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF LYRICSS-39920-64	LYRICSS	AU4782	39920	2.467741935483871	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-39307-45	MESA	AU3426	39307	3.6266666666666665	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
FF MESA-39307-62	MESA	AU3426	39307	2.632258064516129	Jet-01,Jet-02,Jet-03,Jet-04,Jet-08,Jet-09,Jet-10
FF MESA-39307-63	MESA	AU3426 WIDE	39307	2.59047619047619	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-39327-55.5	MESA	AU3426	39327	2.9405405405405407	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
FF MESA-39327-58	MESA	AU3426	39327	2.8137931034482753	Jet-01,Jet-02,Jet-03,Jet-04,Jet-09,Jet-10
