AU2958A	AURA30000	2.435820895522388	PASTEL GREYSTONE HAD	38697	FF AURA30000-38697-67	1.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-07 Jet-08 Jet-09 Jet-10
AU2958A	AURA30000	2.3314285714285714	PASTEL GREYSTONE HDA 	38697	FF AURA30000-38697-70	1.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-07 Jet-08 Jet-09 Jet-10
AU2958A	AURA30000	2.2666666666666666	PASTEL GREYSTONE HDA 	38697	FF AURA30000-38697-72	1.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-07 Jet-08 Jet-09 Jet-10
AU2958G	AURA30000	2.59047619047619	LT FROST BEIGE HL1	38698	FF AURA30000-38698-63	1.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-07 Jet-08 Jet-09 Jet-10
AU2958A	AURA30000	2.4	LT FROST BEIGE HL1	38698	FF AURA30000-38698-68	1.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-07 Jet-08 Jet-09 Jet-10
AU2958A	AURA30000	2.3314285714285714	LIGHT FROST BEIGE HL1	38698	FF AURA30000-38698-70	1.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-07 Jet-08 Jet-09 Jet-10
AU2958H	AURA30000	2.72	BLACK DX9	39064	FF AURA30000-39064-60	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
AU2958H	AURA30000	2.72	BLACK DX9	39064	FF AURA30000-39064-60	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
AU2958G	AURA30000	2.59047619047619	BLACK DX9	39064	FF AURA30000-39064-63	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
AU2958A	AURA30000	2.435820895522388	BLACK DX9	39064	FF AURA30000-39064-67	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
AU2958A	AURA30000	2.4	BLACK DX9	39064	FF AURA30000-39064-68	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
AU2958A	AURA30000	2.3314285714285714	GLOBAL BLACK TX7	39064	FF AURA30000-39064-70	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
AU2958G	AURA30000	2.59047619047619	JEEP BROWN LU5	39530	FF AURA30000-39530-63	2.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-08 Jet-09 Jet-10
AU2958H	AURA30000	2.72	LINEN ML2	39657	FF AURA30000-39657-60	1.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-07 Jet-08 Jet-09 Jet-10
AU2958H	AURA30000	2.72	SKI GREY PS4	39934	FF AURA30000-39934-60	1.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-07 Jet-08 Jet-09 Jet-10
AU2958G	AURA30000	2.59047619047619	GLOBAL BLACK TX7	40359	FF AURA30000-40359-63	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
AU2958A	AURA30000	2.4	GLOBAL BLACK TX7	40359	FF AURA30000-40359-68	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
AU2958A	AURA30000	2.4	GLOBAL BLACK TX7	40359	FF AURA30000-40359-68	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
AU2958A	AURA30000	2.3314285714285714	GLOBAL BLACK TX7	40359	FF AURA30000-40359-70	3.0	Jet-01 Jet-02 Jet-03 Jet-04 Jet-09 Jet-10
